event_hour,user_count,hour_index,is_anomaly,was_tagged_as_anomaly
2024-03-05 20:00:00,6031,260,0,0
2024-03-05 21:00:00,6019,261,0,0
2024-03-05 22:00:00,4751,262,0,0
2024-03-05 23:00:00,2782,263,0,1
2024-03-06 00:00:00,4083,264,0,0
2024-03-06 01:00:00,2900,265,0,0
2024-03-06 02:00:00,2801,266,0,0
2024-03-06 03:00:00,2368,267,0,0
2024-03-06 04:00:00,2294,268,0,0
2024-03-06 05:00:00,5515,269,1,0
2024-03-06 06:00:00,6777,270,1,0
2024-03-06 07:00:00,3672,271,0,0
2024-03-06 08:00:00,4220,272,0,0
2024-03-06 09:00:00,5205,273,0,0
2024-03-06 10:00:00,5732,274,0,0
2024-03-06 11:00:00,6523,275,0,0
2024-03-06 12:00:00,5945,276,0,0
2024-03-06 13:00:00,5978,277,0,0
2024-03-06 14:00:00,6308,278,0,0
2024-03-06 15:00:00,6224,279,0,0
2024-03-06 16:00:00,5839,280,0,0
2024-03-06 17:00:00,5461,281,0,0
2024-03-06 18:00:00,5114,282,0,0
2024-03-06 19:00:00,5010,283,0,0
2024-03-06 20:00:00,5395,284,0,0
2024-03-06 21:00:00,5022,285,0,0
2024-03-06 22:00:00,4250,286,0,0
2024-03-06 23:00:00,2837,287,0,1
2024-03-07 00:00:00,4169,288,0,0
2024-03-07 01:00:00,2926,289,0,0
2024-03-07 02:00:00,2647,290,0,0
2024-03-07 03:00:00,2344,291,0,0
2024-03-07 04:00:00,2191,292,0,0
2024-03-07 05:00:00,2144,293,0,0
2024-03-07 06:00:00,2593,294,0,0
2024-03-07 07:00:00,3855,295,0,0
2024-03-07 08:00:00,4527,296,0,0
2024-03-07 09:00:00,5526,297,0,0
2024-03-07 10:00:00,5711,298,0,0
2024-03-07 11:00:00,5681,299,0,0
2024-03-07 12:00:00,5614,300,0,0
2024-03-07 13:00:00,5560,301,0,0
2024-03-07 14:00:00,5531,302,0,0
2024-03-07 15:00:00,5477,303,0,0
2024-03-07 16:00:00,5696,304,0,0
2024-03-07 17:00:00,5035,305,0,0
2024-03-07 18:00:00,7066,306,0,0
2024-03-07 19:00:00,6892,307,0,0
2024-03-07 20:00:00,5976,308,0,0
2024-03-07 21:00:00,5242,309,0,0
2024-03-07 22:00:00,4243,310,0,0
2024-03-07 23:00:00,2964,311,0,0
2024-03-08 00:00:00,3614,312,0,0
2024-03-08 01:00:00,2843,313,0,0
2024-03-08 02:00:00,2264,314,0,0
2024-03-08 03:00:00,1974,315,0,0
2024-03-08 04:00:00,1994,316,0,0
2024-03-08 05:00:00,1955,317,0,0
2024-03-08 06:00:00,2415,318,0,0
